,sad,angry,happy,fearful,neutral,disgusted,surprised
0,8.774097182140395e-08,1.2059288678756275e-07,1.93330088222865e-05,1.2024171935909322e-10,0.9998987913131714,2.33843222563479e-10,8.164533937815577e-05
1,8.774097182140395e-08,1.2059288678756275e-07,1.93330088222865e-05,1.2024171935909322e-10,0.9998987913131714,2.33843222563479e-10,8.164533937815577e-05
2,1.9358571989869233e-07,2.6079627346575762e-08,5.207642607274465e-05,1.3226692310852606e-11,0.9999468326568604,2.4120411223904625e-10,8.081471492005221e-07
3,8.774097182140395e-08,1.2059288678756275e-07,1.93330088222865e-05,1.2024171935909322e-10,0.9998987913131714,2.33843222563479e-10,8.164533937815577e-05
4,1.9358571989869233e-07,2.6079627346575762e-08,5.207642607274465e-05,1.3226692310852606e-11,0.9999468326568604,2.4120411223904625e-10,8.081471492005221e-07
5,2.2605615868087625e-06,1.2885640899185091e-05,0.00015082853497006,3.7262339880328454e-09,0.9998223781585693,3.923868341360048e-09,1.1619443284871522e-05
6,8.774097182140395e-08,1.2059288678756275e-07,1.93330088222865e-05,1.2024171935909322e-10,0.9998987913131714,2.33843222563479e-10,8.164533937815577e-05
7,1.9358571989869233e-07,2.6079627346575762e-08,5.207642607274465e-05,1.3226692310852606e-11,0.9999468326568604,2.4120411223904625e-10,8.081471492005221e-07
8,2.2605615868087625e-06,1.2885640899185091e-05,0.00015082853497006,3.7262339880328454e-09,0.9998223781585693,3.923868341360048e-09,1.1619443284871522e-05
9,1.2785779972546152e-06,6.128840323071927e-05,1.108015567297116e-06,3.89421606072915e-10,0.9998624324798584,2.0851327331428138e-09,7.393568375846371e-05
10,8.774097182140395e-08,1.2059288678756275e-07,1.93330088222865e-05,1.2024171935909322e-10,0.9998987913131714,2.33843222563479e-10,8.164533937815577e-05
11,1.9358571989869233e-07,2.6079627346575762e-08,5.207642607274465e-05,1.3226692310852606e-11,0.9999468326568604,2.4120411223904625e-10,8.081471492005221e-07
12,2.2605615868087625e-06,1.2885640899185091e-05,0.00015082853497006,3.7262339880328454e-09,0.9998223781585693,3.923868341360048e-09,1.1619443284871522e-05
13,1.2785779972546152e-06,6.128840323071927e-05,1.108015567297116e-06,3.89421606072915e-10,0.9998624324798584,2.0851327331428138e-09,7.393568375846371e-05
14,1.7651760799708427e-06,8.912861812859774e-05,2.2267754502536263e-06,4.635025518950897e-08,0.9997467398643494,6.546212905078619e-09,0.00015997009177226573
15,8.774097182140395e-08,1.2059288678756275e-07,1.93330088222865e-05,1.2024171935909322e-10,0.9998987913131714,2.33843222563479e-10,8.164533937815577e-05
16,1.9358571989869233e-07,2.6079627346575762e-08,5.207642607274465e-05,1.3226692310852606e-11,0.9999468326568604,2.4120411223904625e-10,8.081471492005221e-07
17,2.2605615868087625e-06,1.2885640899185091e-05,0.00015082853497006,3.7262339880328454e-09,0.9998223781585693,3.923868341360048e-09,1.1619443284871522e-05
18,1.2785779972546152e-06,6.128840323071927e-05,1.108015567297116e-06,3.89421606072915e-10,0.9998624324798584,2.0851327331428138e-09,7.393568375846371e-05
19,1.7651760799708427e-06,8.912861812859774e-05,2.2267754502536263e-06,4.635025518950897e-08,0.9997467398643494,6.546212905078619e-09,0.00015997009177226573
20,0.00029716029530391097,5.544308078242466e-05,3.0634680570074124e-06,5.693299317499623e-05,0.9990087151527405,2.110953012390837e-08,0.0005786530673503876
21,8.774097182140395e-08,1.2059288678756275e-07,1.93330088222865e-05,1.2024171935909322e-10,0.9998987913131714,2.33843222563479e-10,8.164533937815577e-05
22,1.9358571989869233e-07,2.6079627346575762e-08,5.207642607274465e-05,1.3226692310852606e-11,0.9999468326568604,2.4120411223904625e-10,8.081471492005221e-07
23,2.2605615868087625e-06,1.2885640899185091e-05,0.00015082853497006,3.7262339880328454e-09,0.9998223781585693,3.923868341360048e-09,1.1619443284871522e-05
24,1.2785779972546152e-06,6.128840323071927e-05,1.108015567297116e-06,3.89421606072915e-10,0.9998624324798584,2.0851327331428138e-09,7.393568375846371e-05
25,1.7651760799708427e-06,8.912861812859774e-05,2.2267754502536263e-06,4.635025518950897e-08,0.9997467398643494,6.546212905078619e-09,0.00015997009177226573
26,0.00029716029530391097,5.544308078242466e-05,3.0634680570074124e-06,5.693299317499623e-05,0.9990087151527405,2.110953012390837e-08,0.0005786530673503876
27,0.0004382081679068506,0.00031469290843233466,0.0002056820085272193,3.8477304769912735e-05,0.9858767986297607,1.9370396330486983e-05,0.013106701895594597
28,8.774097182140395e-08,1.2059288678756275e-07,1.93330088222865e-05,1.2024171935909322e-10,0.9998987913131714,2.33843222563479e-10,8.164533937815577e-05
