,sad,angry,happy,fearful,neutral,disgusted,surprised
0,5.107786478220078e-07,4.024876147923351e-07,4.566061033983715e-05,5.042502526642068e-10,0.9999420642852783,1.1361516527585991e-07,1.1351560715411324e-05
1,5.107786478220078e-07,4.024876147923351e-07,4.566061033983715e-05,5.042502526642068e-10,0.9999420642852783,1.1361516527585991e-07,1.1351560715411324e-05
2,3.2281846085169263e-09,6.352782300211857e-09,2.8272745566937374e-06,1.1150910056434427e-11,0.9999821186065674,3.7646188388862356e-08,1.5022025763755664e-05
3,5.107786478220078e-07,4.024876147923351e-07,4.566061033983715e-05,5.042502526642068e-10,0.9999420642852783,1.1361516527585991e-07,1.1351560715411324e-05
4,3.2281846085169263e-09,6.352782300211857e-09,2.8272745566937374e-06,1.1150910056434427e-11,0.9999821186065674,3.7646188388862356e-08,1.5022025763755664e-05
5,1.357978707261509e-08,3.583953966934672e-10,4.7978287511796225e-06,7.592039844017684e-12,0.9999938011169434,4.0516354715691705e-09,1.4337822449306259e-06
6,5.107786478220078e-07,4.024876147923351e-07,4.566061033983715e-05,5.042502526642068e-10,0.9999420642852783,1.1361516527585991e-07,1.1351560715411324e-05
7,3.2281846085169263e-09,6.352782300211857e-09,2.8272745566937374e-06,1.1150910056434427e-11,0.9999821186065674,3.7646188388862356e-08,1.5022025763755664e-05
8,1.357978707261509e-08,3.583953966934672e-10,4.7978287511796225e-06,7.592039844017684e-12,0.9999938011169434,4.0516354715691705e-09,1.4337822449306259e-06
9,1.135483262970638e-08,3.851198915327814e-09,3.339822796988301e-06,4.153973606063621e-12,0.9999961853027344,1.2292983520012513e-08,4.882581379206385e-07
10,5.107786478220078e-07,4.024876147923351e-07,4.566061033983715e-05,5.042502526642068e-10,0.9999420642852783,1.1361516527585991e-07,1.1351560715411324e-05
11,3.2281846085169263e-09,6.352782300211857e-09,2.8272745566937374e-06,1.1150910056434427e-11,0.9999821186065674,3.7646188388862356e-08,1.5022025763755664e-05
12,1.357978707261509e-08,3.583953966934672e-10,4.7978287511796225e-06,7.592039844017684e-12,0.9999938011169434,4.0516354715691705e-09,1.4337822449306259e-06
13,1.135483262970638e-08,3.851198915327814e-09,3.339822796988301e-06,4.153973606063621e-12,0.9999961853027344,1.2292983520012513e-08,4.882581379206385e-07
14,2.5269470960154194e-09,1.0328109922852491e-08,7.484977231797529e-06,1.9254467811813392e-11,0.9999895095825195,6.164264476637982e-08,2.9640705179190263e-06
15,5.107786478220078e-07,4.024876147923351e-07,4.566061033983715e-05,5.042502526642068e-10,0.9999420642852783,1.1361516527585991e-07,1.1351560715411324e-05
16,3.2281846085169263e-09,6.352782300211857e-09,2.8272745566937374e-06,1.1150910056434427e-11,0.9999821186065674,3.7646188388862356e-08,1.5022025763755664e-05
17,1.357978707261509e-08,3.583953966934672e-10,4.7978287511796225e-06,7.592039844017684e-12,0.9999938011169434,4.0516354715691705e-09,1.4337822449306259e-06
18,1.135483262970638e-08,3.851198915327814e-09,3.339822796988301e-06,4.153973606063621e-12,0.9999961853027344,1.2292983520012513e-08,4.882581379206385e-07
19,2.5269470960154194e-09,1.0328109922852491e-08,7.484977231797529e-06,1.9254467811813392e-11,0.9999895095825195,6.164264476637982e-08,2.9640705179190263e-06
20,8.161229025915873e-09,8.925535155412945e-08,0.00041485874680802226,5.685551855705295e-12,0.9995836615562439,4.587416526646848e-07,8.391286883124849e-07
21,5.107786478220078e-07,4.024876147923351e-07,4.566061033983715e-05,5.042502526642068e-10,0.9999420642852783,1.1361516527585991e-07,1.1351560715411324e-05
22,3.2281846085169263e-09,6.352782300211857e-09,2.8272745566937374e-06,1.1150910056434427e-11,0.9999821186065674,3.7646188388862356e-08,1.5022025763755664e-05
23,1.357978707261509e-08,3.583953966934672e-10,4.7978287511796225e-06,7.592039844017684e-12,0.9999938011169434,4.0516354715691705e-09,1.4337822449306259e-06
24,1.135483262970638e-08,3.851198915327814e-09,3.339822796988301e-06,4.153973606063621e-12,0.9999961853027344,1.2292983520012513e-08,4.882581379206385e-07
25,2.5269470960154194e-09,1.0328109922852491e-08,7.484977231797529e-06,1.9254467811813392e-11,0.9999895095825195,6.164264476637982e-08,2.9640705179190263e-06
26,8.161229025915873e-09,8.925535155412945e-08,0.00041485874680802226,5.685551855705295e-12,0.9995836615562439,4.587416526646848e-07,8.391286883124849e-07
27,1.4666650116623714e-08,7.002307761405646e-11,0.9999953508377075,1.2299413874525267e-12,4.642311068892013e-06,3.864129904940228e-09,4.0390521482969177e-10
28,5.107786478220078e-07,4.024876147923351e-07,4.566061033983715e-05,5.042502526642068e-10,0.9999420642852783,1.1361516527585991e-07,1.1351560715411324e-05
29,3.2281846085169263e-09,6.352782300211857e-09,2.8272745566937374e-06,1.1150910056434427e-11,0.9999821186065674,3.7646188388862356e-08,1.5022025763755664e-05
30,1.357978707261509e-08,3.583953966934672e-10,4.7978287511796225e-06,7.592039844017684e-12,0.9999938011169434,4.0516354715691705e-09,1.4337822449306259e-06
31,1.135483262970638e-08,3.851198915327814e-09,3.339822796988301e-06,4.153973606063621e-12,0.9999961853027344,1.2292983520012513e-08,4.882581379206385e-07
32,2.5269470960154194e-09,1.0328109922852491e-08,7.484977231797529e-06,1.9254467811813392e-11,0.9999895095825195,6.164264476637982e-08,2.9640705179190263e-06
33,8.161229025915873e-09,8.925535155412945e-08,0.00041485874680802226,5.685551855705295e-12,0.9995836615562439,4.587416526646848e-07,8.391286883124849e-07
34,1.4666650116623714e-08,7.002307761405646e-11,0.9999953508377075,1.2299413874525267e-12,4.642311068892013e-06,3.864129904940228e-09,4.0390521482969177e-10
35,0.00011548980546649545,3.258869796241015e-08,0.9984561204910278,1.6590806950489423e-08,0.0014283257769420743,1.5225106508864883e-08,8.445648802535288e-08
36,5.107786478220078e-07,4.024876147923351e-07,4.566061033983715e-05,5.042502526642068e-10,0.9999420642852783,1.1361516527585991e-07,1.1351560715411324e-05
37,3.2281846085169263e-09,6.352782300211857e-09,2.8272745566937374e-06,1.1150910056434427e-11,0.9999821186065674,3.7646188388862356e-08,1.5022025763755664e-05
38,1.357978707261509e-08,3.583953966934672e-10,4.7978287511796225e-06,7.592039844017684e-12,0.9999938011169434,4.0516354715691705e-09,1.4337822449306259e-06
39,1.135483262970638e-08,3.851198915327814e-09,3.339822796988301e-06,4.153973606063621e-12,0.9999961853027344,1.2292983520012513e-08,4.882581379206385e-07
40,2.5269470960154194e-09,1.0328109922852491e-08,7.484977231797529e-06,1.9254467811813392e-11,0.9999895095825195,6.164264476637982e-08,2.9640705179190263e-06
41,8.161229025915873e-09,8.925535155412945e-08,0.00041485874680802226,5.685551855705295e-12,0.9995836615562439,4.587416526646848e-07,8.391286883124849e-07
42,1.4666650116623714e-08,7.002307761405646e-11,0.9999953508377075,1.2299413874525267e-12,4.642311068892013e-06,3.864129904940228e-09,4.0390521482969177e-10
43,0.00011548980546649545,3.258869796241015e-08,0.9984561204910278,1.6590806950489423e-08,0.0014283257769420743,1.5225106508864883e-08,8.445648802535288e-08
44,9.396364475833252e-06,1.1926800880246446e-08,0.9999014139175415,9.327241201617653e-09,8.901098044589162e-05,3.27286393542181e-08,3.556483463285076e-08
45,5.107786478220078e-07,4.024876147923351e-07,4.566061033983715e-05,5.042502526642068e-10,0.9999420642852783,1.1361516527585991e-07,1.1351560715411324e-05
46,3.2281846085169263e-09,6.352782300211857e-09,2.8272745566937374e-06,1.1150910056434427e-11,0.9999821186065674,3.7646188388862356e-08,1.5022025763755664e-05
47,1.357978707261509e-08,3.583953966934672e-10,4.7978287511796225e-06,7.592039844017684e-12,0.9999938011169434,4.0516354715691705e-09,1.4337822449306259e-06
48,1.135483262970638e-08,3.851198915327814e-09,3.339822796988301e-06,4.153973606063621e-12,0.9999961853027344,1.2292983520012513e-08,4.882581379206385e-07
49,2.5269470960154194e-09,1.0328109922852491e-08,7.484977231797529e-06,1.9254467811813392e-11,0.9999895095825195,6.164264476637982e-08,2.9640705179190263e-06
50,8.161229025915873e-09,8.925535155412945e-08,0.00041485874680802226,5.685551855705295e-12,0.9995836615562439,4.587416526646848e-07,8.391286883124849e-07
51,1.4666650116623714e-08,7.002307761405646e-11,0.9999953508377075,1.2299413874525267e-12,4.642311068892013e-06,3.864129904940228e-09,4.0390521482969177e-10
52,0.00011548980546649545,3.258869796241015e-08,0.9984561204910278,1.6590806950489423e-08,0.0014283257769420743,1.5225106508864883e-08,8.445648802535288e-08
53,9.396364475833252e-06,1.1926800880246446e-08,0.9999014139175415,9.327241201617653e-09,8.901098044589162e-05,3.27286393542181e-08,3.556483463285076e-08
54,5.7771731007960625e-06,1.5724562762997607e-09,0.999976396560669,3.684056393282731e-09,1.777153738657944e-05,4.1241118964308043e-08,1.6939978308982973e-08
55,5.107786478220078e-07,4.024876147923351e-07,4.566061033983715e-05,5.042502526642068e-10,0.9999420642852783,1.1361516527585991e-07,1.1351560715411324e-05
56,3.2281846085169263e-09,6.352782300211857e-09,2.8272745566937374e-06,1.1150910056434427e-11,0.9999821186065674,3.7646188388862356e-08,1.5022025763755664e-05
57,1.357978707261509e-08,3.583953966934672e-10,4.7978287511796225e-06,7.592039844017684e-12,0.9999938011169434,4.0516354715691705e-09,1.4337822449306259e-06
58,1.135483262970638e-08,3.851198915327814e-09,3.339822796988301e-06,4.153973606063621e-12,0.9999961853027344,1.2292983520012513e-08,4.882581379206385e-07
59,2.5269470960154194e-09,1.0328109922852491e-08,7.484977231797529e-06,1.9254467811813392e-11,0.9999895095825195,6.164264476637982e-08,2.9640705179190263e-06
60,8.161229025915873e-09,8.925535155412945e-08,0.00041485874680802226,5.685551855705295e-12,0.9995836615562439,4.587416526646848e-07,8.391286883124849e-07
61,1.4666650116623714e-08,7.002307761405646e-11,0.9999953508377075,1.2299413874525267e-12,4.642311068892013e-06,3.864129904940228e-09,4.0390521482969177e-10
62,0.00011548980546649545,3.258869796241015e-08,0.9984561204910278,1.6590806950489423e-08,0.0014283257769420743,1.5225106508864883e-08,8.445648802535288e-08
63,9.396364475833252e-06,1.1926800880246446e-08,0.9999014139175415,9.327241201617653e-09,8.901098044589162e-05,3.27286393542181e-08,3.556483463285076e-08
64,5.7771731007960625e-06,1.5724562762997607e-09,0.999976396560669,3.684056393282731e-09,1.777153738657944e-05,4.1241118964308043e-08,1.6939978308982973e-08
65,2.8770257287646928e-08,1.2939592106131492e-11,0.9999983310699463,1.6714924800168007e-12,1.6867717249624548e-06,7.347506630894785e-11,1.2380302338854676e-10
66,5.107786478220078e-07,4.024876147923351e-07,4.566061033983715e-05,5.042502526642068e-10,0.9999420642852783,1.1361516527585991e-07,1.1351560715411324e-05
67,3.2281846085169263e-09,6.352782300211857e-09,2.8272745566937374e-06,1.1150910056434427e-11,0.9999821186065674,3.7646188388862356e-08,1.5022025763755664e-05
68,1.357978707261509e-08,3.583953966934672e-10,4.7978287511796225e-06,7.592039844017684e-12,0.9999938011169434,4.0516354715691705e-09,1.4337822449306259e-06
69,1.135483262970638e-08,3.851198915327814e-09,3.339822796988301e-06,4.153973606063621e-12,0.9999961853027344,1.2292983520012513e-08,4.882581379206385e-07
70,2.5269470960154194e-09,1.0328109922852491e-08,7.484977231797529e-06,1.9254467811813392e-11,0.9999895095825195,6.164264476637982e-08,2.9640705179190263e-06
71,8.161229025915873e-09,8.925535155412945e-08,0.00041485874680802226,5.685551855705295e-12,0.9995836615562439,4.587416526646848e-07,8.391286883124849e-07
72,1.4666650116623714e-08,7.002307761405646e-11,0.9999953508377075,1.2299413874525267e-12,4.642311068892013e-06,3.864129904940228e-09,4.0390521482969177e-10
73,0.00011548980546649545,3.258869796241015e-08,0.9984561204910278,1.6590806950489423e-08,0.0014283257769420743,1.5225106508864883e-08,8.445648802535288e-08
74,9.396364475833252e-06,1.1926800880246446e-08,0.9999014139175415,9.327241201617653e-09,8.901098044589162e-05,3.27286393542181e-08,3.556483463285076e-08
75,5.7771731007960625e-06,1.5724562762997607e-09,0.999976396560669,3.684056393282731e-09,1.777153738657944e-05,4.1241118964308043e-08,1.6939978308982973e-08
