,0,1
0,499.89550283677687,500.0718083070354
1,498.6137115654505,500.88640515162143
2,494.0973106079628,503.7219138777215
3,482.78055922827446,509.4702764387823
4,462.23138050444675,521.1798521755521
5,434.03526216368874,540.0766463720288
6,402.1770562411288,561.1433665243883
7,368.56880605287876,581.3367270360704
8,342.04297617962635,596.1868926323823
9,329.8532643410728,600.1627294527351
10,321.71575860115735,596.2645188164876
11,343.8813855937477,577.3677285325026
12,361.3578958148487,560.0332416675335
13,429.8302142496828,506.9553458242372
14,524.2461612586475,439.5241501404447
15,631.1772849260827,368.30386001439194
16,736.2156514452086,298.4550370215356
17,872.7865729565802,238.1459947234404
18,938.2301451188641,210.24944935323467
19,1041.4107494303837,168.90620557862914
20,1087.5137779254214,160.02120182890914
21,1073.0744190556236,206.31928404748828
22,1070.9565652003203,219.95301997225988
23,1047.0638371498221,248.1229933950003
24,1064.2238221816565,247.40364737783872
25,1060.589473936157,253.44016291096486
26,1045.77401967128,259.3544398827128
27,1024.6340777455223,271.47895191970434
28,1038.5580658684328,256.0001799940178
29,1028.8276798104164,247.915377320318
30,972.7923465789628,245.84291188046862
31,932.9916400171144,241.11515619906666
32,891.6174643978679,240.64179369639302
33,841.7214191644398,249.03821133915625
34,821.5522860188505,248.69193961850155
35,742.5031021603507,284.4228710014456
36,711.329591799126,302.90775211746933
37,687.3423403377282,309.50695991354155
38,648.0709592141822,336.64473027520285
39,623.4852317314172,354.80522825814063
40,605.5683889543817,362.6286157989216
41,576.7570324771868,378.7930801114178
42,557.3518891906953,391.8927149157786
43,510.12113789819443,431.60281740018684
44,474.17763560795487,424.8079143312127
45,452.3776026920124,419.6179899162426
46,442.71567740567707,438.6837941347883
47,460.2424398955451,425.53618821288904
48,510.23961548157524,387.9876172883477
49,584.484938371945,336.1275227775428
50,656.7064409218945,286.73526287748484
51,696.224970331944,253.67790709157268
52,761.7461189401591,215.06605409647668
53,799.7359849643725,197.18638486758942
54,871.0963899341858,160.66133077229966
55,927.1598676349187,135.20931930194786
56,981.7713935466969,111.866153904439
57,1027.4431725030702,90.1092008665261
58,1039.570892662244,103.73627734343746
59,1074.1210900224794,88.7981962543958
60,1092.6207340902351,90.05502008644542
61,1105.0970802866414,86.19712758049644
62,1102.805401460936,95.74473637835229
63,1064.7591626157719,135.35940378855935
64,1009.4328867519032,181.57697349753013
65,1019.2698784261231,171.07568559878976
66,879.4627191163228,259.16033336168476
67,790.600813617157,315.6373998070371
68,764.5216381904784,329.6731320348281
69,723.1591830511989,353.7934132835483
70,645.752060903853,405.4666520203141
71,586.1031255598521,444.1266110426427
72,564.6113855886484,457.3395220513418
73,536.6877051985946,476.71008250815873
74,499.05610714379776,509.9384307780186
75,470.54985095591877,530.1891504236856
76,448.78421660688986,549.7326214040103
77,398.3336828229211,590.7570653502414
78,371.95673033508257,608.783489650653
79,360.05866499395904,616.6603217638224
80,364.76171910358886,615.2728493157267
81,360.1672117951004,621.4882452622777
